building_id,district_id,count_floors_pre_eq,count_floors_post_eq,age_building,plinth_area_sq_ft,height_ft_pre_eq,height_ft_post_eq,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,condition_post_eq,damage_grade
246201001571,24,3,2,82,625,24,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 4
246201001581,24,4,4,30,385,32,32,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-2 side,Rectangular,Damaged-Not used,Grade 3
246201001591,24,3,2,90,520,24,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Attached-2 side,Rectangular,Damaged-Used in risk,Grade 4
246201001601,24,3,3,80,456,24,24,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-2 side,Rectangular,Damaged-Used in risk,Grade 4
246201001611,24,3,3,2,652,30,30,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1
246202000021,24,2,2,20,300,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Square,Damaged-Used in risk,Grade 4
246202000031,24,3,3,103,440,27,27,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 4
246202000041,24,3,2,70,385,28,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 4
246202000051,24,3,3,24,611,30,30,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1
246202000061,24,3,3,13,287,30,30,Moderate slope,Mud mortar-Stone/Brick,RCC/RB/RBC,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 3
246202000062,24,3,3,61,400,30,30,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-2 side,Rectangular,Damaged-Not used,Grade 3
246202000071,24,3,3,61,350,28,28,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Attached-2 side,Rectangular,Damaged-Used in risk,Grade 3
246202000081,24,4,4,103,342,28,28,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-2 side,Square,Damaged-Not used,Grade 3
246202000082,24,2,2,45,1000,20,20,Flat,Cement-Stone/Brick,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 2
246202000091,24,3,3,90,440,24,24,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-2 side,Rectangular,Damaged-Not used,Grade 4
